"GEO_ID","NAME","B19083_001E","B19083_001M"
"id","Geographic Area Name","Estimate!!Gini Index","Margin of Error!!Gini Index"
"0500000US36021","Columbia County, New York","0.4645","0.0156"
"0500000US36049","Lewis County, New York","0.4126","0.0122"
"0500000US36063","Niagara County, New York","0.4411","0.0078"
"0500000US36119","Westchester County, New York","0.5405","0.0032"
"0500000US36025","Delaware County, New York","0.4337","0.0123"
"0500000US36031","Essex County, New York","0.4302","0.0163"
"0500000US36057","Montgomery County, New York","0.4576","0.0158"
"0500000US36059","Nassau County, New York","0.4570","0.0031"
"0500000US36085","Richmond County, New York","0.4566","0.0060"
"0500000US36097","Schuyler County, New York","0.4014","0.0188"
"0500000US36109","Tompkins County, New York","0.4887","0.0119"
"0500000US36017","Chenango County, New York","0.4279","0.0143"
"0500000US36023","Cortland County, New York","0.4354","0.0210"
"0500000US36045","Jefferson County, New York","0.4181","0.0108"
"0500000US36065","Oneida County, New York","0.4590","0.0111"
"0500000US36103","Suffolk County, New York","0.4423","0.0035"
"0500000US36121","Wyoming County, New York","0.4015","0.0225"
"0500000US36015","Chemung County, New York","0.4486","0.0143"
"0500000US36075","Oswego County, New York","0.4335","0.0106"
"0500000US36077","Otsego County, New York","0.4433","0.0132"
"0500000US36117","Wayne County, New York","0.4189","0.0133"
"0500000US36001","Albany County, New York","0.4592","0.0062"
"0500000US36007","Broome County, New York","0.4591","0.0092"
"0500000US36029","Erie County, New York","0.4668","0.0041"
"0500000US36053","Madison County, New York","0.4212","0.0114"
"0500000US36105","Sullivan County, New York","0.4633","0.0149"
"0500000US37121","Mitchell County, North Carolina","0.4256","0.0375"
"0500000US36037","Genesee County, New York","0.4073","0.0114"
"0500000US36071","Orange County, New York","0.4380","0.0066"
"0500000US37079","Greene County, North Carolina","0.4337","0.0247"
"0500000US37041","Chowan County, North Carolina","0.4474","0.0252"
"0500000US37027","Caldwell County, North Carolina","0.4483","0.0153"
"0500000US37035","Catawba County, North Carolina","0.4536","0.0107"
"0500000US37049","Craven County, North Carolina","0.4503","0.0152"
"0500000US37065","Edgecombe County, North Carolina","0.4720","0.0237"
"0500000US37085","Harnett County, North Carolina","0.4177","0.0086"
"0500000US37089","Henderson County, North Carolina","0.4350","0.0093"
"0500000US37095","Hyde County, North Carolina","0.3983","0.0589"
"0500000US37119","Mecklenburg County, North Carolina","0.4881","0.0043"
"0500000US37131","Northampton County, North Carolina","0.4500","0.0231"
